"timestamp","sample","timestamp_min"
630410.15625,2368,7.9468359375
630414.0625,2360,7.94690104166667
630417.96875,2356,7.94696614583333
630421.875,2353,7.94703125
630425.78125,2351,7.94709635416667
630429.6875,2348,7.94716145833333
630433.59375,2346,7.9472265625
630437.5,2346,7.94729166666667
630441.40625,2342,7.94735677083333
630445.3125,2343,7.947421875
630449.21875,2343,7.94748697916667
630453.125,2342,7.94755208333333
630457.03125,2343,7.9476171875
630460.9375,2343,7.94768229166667
630464.84375,2341,7.94774739583333
630468.75,2344,7.9478125
630472.65625,2344,7.94787760416667
630476.5625,2346,7.94794270833333
630480.46875,2347,7.9480078125
630484.375,2348,7.94807291666667
630488.28125,2353,7.94813802083333
630492.1875,2355,7.948203125
630496.09375,2358,7.94826822916667
630500,2359,7.94833333333333
630503.90625,2361,7.9483984375
630507.8125,2362,7.94846354166667
630511.71875,2366,7.94852864583333
630515.625,2367,7.94859375
630519.53125,2365,7.94865885416667
630523.4375,2368,7.94872395833333
630527.34375,2368,7.9487890625
630531.25,2369,7.94885416666667
630535.15625,2372,7.94891927083333
630539.0625,2374,7.948984375
630542.96875,2375,7.94904947916667
630546.875,2376,7.94911458333333
630550.78125,2377,7.9491796875
630554.6875,2378,7.94924479166667
630558.59375,2377,7.94930989583333
630562.5,2378,7.949375
630566.40625,2376,7.94944010416667
630570.3125,2376,7.94950520833333
630574.21875,2376,7.9495703125
630578.125,2374,7.94963541666667
630582.03125,2373,7.94970052083333
630585.9375,2373,7.949765625
630589.84375,2373,7.94983072916667
630593.75,2370,7.94989583333333
630597.65625,2368,7.9499609375
630601.5625,2370,7.95002604166667
630605.46875,2369,7.95009114583333
630609.375,2367,7.95015625
630613.28125,2367,7.95022135416667
630617.1875,2365,7.95028645833333
630621.09375,2364,7.9503515625
630625,2363,7.95041666666667
630628.90625,2361,7.95048177083333
630632.8125,2361,7.950546875
630636.71875,2361,7.95061197916667
630640.625,2361,7.95067708333333
630644.53125,2361,7.9507421875
630648.4375,2362,7.95080729166667
630652.34375,2360,7.95087239583333
630656.25,2360,7.9509375
630660.15625,2360,7.95100260416667
630664.0625,2358,7.95106770833333
630667.96875,2358,7.9511328125
630671.875,2357,7.95119791666667
630675.78125,2357,7.95126302083333
630679.6875,2355,7.951328125
630683.59375,2356,7.95139322916667
630687.5,2356,7.95145833333333
630691.40625,2356,7.9515234375
630695.3125,2356,7.95158854166667
630699.21875,2356,7.95165364583333
630703.125,2357,7.95171875
630707.03125,2357,7.95178385416667
630710.9375,2358,7.95184895833333
